기능 ID,대분류,소분류,기능명,사용자 유형,기능 상세(설명),입력,출력,예외/에러,우선순위,상태,비고
SGI-001,로그인,이메일,이메일 로그인,게스트,"- 이메일로 로그인 함.
- 가입 시 작성한 우리 대학 이메일로만 로그인 가능.","- 사용자 이메일
- 사용자 비밀번호",- 세션 발급 후 페이지 이동,"- 이메일 또는 비밀번호가 올바르지 않으면 오류 처리
- 이메일은 존재하지만 비밀번호가 잘못된 경우에도 이메일, 비밀번호 모두 오류 처리
- 계정을 찾을 수 없는 경우 회원가입 유도",,완료,
SGI-002,로그인,깃허브,소셜 로그인,게스트,- 깃허브 계정으로 연동된 계정이 있으면 로그인 처리.,- 깃허브 로그인 버튼 클릭,- 세션 발급 후 페이지 이동,"- 깃허브 계정이 연결된 회원이 없다면 회원가입 유도.
- 잘못된 결과 클라이언트에서 전달 시 서버 오류 처리",,완료,
SGI-003,로그인,비밀번호 재설정,비밀번호 재설정 이메일 발송,게스트,"- 등록된 이메일로 비밀번호 재설정 링크 발송.
- 사용자에게는 항상 처리가 완료됐다는 문구만 표시.",- 사용자 이메일,- (재설정 링크 메일 발송),- 미등록 이메일이어도 정상 응답 반환 (보안상 이유),,완료,
SGI-004,로그인,비밀번호 재설정,비밀번호 재설정 확인,게스트,- 재설정 토큰 검증 후 새 비밀번호 저장.,"- 재설정 토큰
- 새 비밀번호",- (비밀번호 변경 완료),"- 토큰 만료 또는 유효하지 않은 토큰 오류 반환.
- 새로운 비밀번호 입력 시 조건 검사.",,완료,
SGI-005,로그인,토큰,AccessToken 재발급,게스트,- RefreshToken으로 AccessToken 재발급.,- RefreshToken (Header),"- AccessToken (신규 발급)
- RefreshToken (기존 유지)",- RefreshToken 만료 또는 유효하지 않을 시 오류 반환.,,완료,
SGI-006,로그인,로그아웃,로그아웃,"학생, 교직원, 관리자",- 서버 측 RefreshToken 무효화 및 세션 종료.,- (인증 토큰),- (세션 종료),- 인증 토큰 없을 시 오류 반환.,,완료,
SGI-007,로그인,내 정보,내 정보 조회,"학생, 교직원, 관리자","- 로그인한 사용자의 id, 이름, 역할, 칭호 등 반환.",- (인증 토큰),- 사용자 기본 정보,- 인증 토큰 없을 시 오류 반환.,,완료,
SGU-001,회원가입,재학생 인증,아우누리 이메일 인증,게스트,"- 우리 대학 아우누리 계정으로만 회원가입 가능.
- 인증 코드를 발송하거나 인증 링크를 이메일로 발송.
- 인증정보 입력 후 사용자 회원등록 처리",- 이메일 입력 또는 아우누리 이메일,- 회원가입 다음 단계로 이동,"- 잘못된 인증번호 입력 시 오류 처리.
- 60초 이내 이메일 재발송 요청 시 거부.
- 3분 이내 미입력 시 인증코드 만료.",,완료,
SGU-002,회원가입,계정정보,회원가입 처리,게스트,"- 사용자가 입력한 정보 필드(비밀번호, 이름 등)의 조건을 검사함.","- 비밀번호, 이름",- 사용자 세션 정보,"- 각 필드의 조건을 미충족 시 오류 반환.
- 잘못된 접근 시 오류 반환.",,완료,
SGU-003,회원가입,중복 확인,학번/사번 중복 확인,게스트,- 학번 또는 사번의 중복 여부를 조회.,- 학번 또는 사번,- 중복 여부 결과,- 이미 사용 중인 학번/사번인 경우 안내 메시지 반환.,,완료,
SGU-004,회원가입,깃허브 연동,GitHub 계정 사전 연동,게스트,"- GitHub OAuth Access Token으로 사전 검증 후 SignupToken 발급.
- 이미 연동된 계정이 있으면 로그인 플로우로 전환.",- GitHub Access Token,- SignupToken (임시 가입 토큰),"- 토큰 유효하지 않을 시 오류 반환.
- 이미 연동된 GitHub 계정 존재 시 오류 반환.",,완료,
USR-001,회원정보,비밀번호,비밀번호 변경,"학생, 교직원, 관리자","- 로그인 상태에서 현재 비밀번호와 새 비밀번호를 입력하여 변경.
- 새 비밀번호 조건 검사 후 저장.","- 현재 비밀번호
- 새 비밀번호",- (변경 완료),"- 현재 비밀번호 불일치 시 오류 반환.
- 새 비밀번호 조건 미충족 시 오류 반환.",,완료,
USR-002,회원정보,탈퇴,회원 탈퇴,"학생, 교직원, 관리자","- 계정 탈퇴 시 이메일로 인증코드 전송.
- 사용자 이메일 인증 중 다른 데이터와 연관되어 삭제가 불가능할 경우 알림 후 보존.",- 인증코드,- 계정 비활성화 안내 메일,"- 잘못된 인증코드 입력 시 입력 거부.
- 60초 이내 이메일 재발송 요청 시 거부.",,완료,
